fecha,euros
2011-01-14,1400
2011-01-15,500
2011-04-30,9230
2011-01-16,500
2011-01-17,1500
2011-01-10,1800
2008-11-18,150
2011-01-12,100
2011-01-13,1500
2010-02-28,350
2010-02-22,1700
2010-07-04,300
2011-08-31,8680
2011-08-30,6450
2011-03-29,4000
2011-03-28,6900
2011-03-27,6000
2011-03-26,4200
2011-03-25,12400
2011-03-24,9780
2011-03-23,6700
2011-03-22,5810
2011-03-21,4950
2011-03-20,4500
2010-09-19,400
2009-11-30,310
2011-07-30,19080
2011-07-31,13810
2010-04-23,380
2010-04-22,300
2010-09-30,600
2010-04-27,150
2010-04-26,300
2010-04-25,800
2010-04-24,530
2010-04-29,380
2009-09-07,100
2009-09-20,150
2010-03-19,450
2009-12-03,150
2010-03-17,1500
2010-09-15,700
2010-03-11,650
2010-03-10,120
2010-10-28,500
2010-10-29,400
2010-04-28,10
2009-09-24,150
2010-08-29,200
2010-08-28,1700
2010-10-22,600
2010-08-26,300
2010-10-20,1600
2009-09-25,100
2010-10-26,2800
2010-10-27,700
2010-10-24,600
2010-10-25,500
2011-09-03,6000
2011-09-02,47190
2011-09-01,7710
2011-09-07,56570
2011-09-06,5780
2011-09-05,12500
2011-09-04,10680
2011-09-09,8580
2011-09-08,7630
2009-05-31,450
2010-05-09,100
2010-05-06,450
2010-05-07,610
2010-05-04,1260
2010-05-05,1890
2010-05-02,200
2010-05-03,1500
2010-05-01,340
2009-11-24,70
2010-08-16,300
2010-08-15,300
2010-08-13,300
2009-09-18,100
2011-10-07,0
2010-08-25,300
2011-05-07,1200
2011-05-06,41900
2011-05-05,8450
2011-05-04,14010
2011-05-03,6550
2011-05-02,7780
2011-05-01,4500
2011-05-09,10700
2011-05-08,8410
2010-11-12,600
2010-11-13,1200
2010-11-14,300
2010-11-15,100
2010-11-16,800
2010-11-17,1000
2010-11-18,2200
2010-11-19,300
2009-10-30,310
2010-12-05,300
2011-06-30,12480
2011-10-01,0
2011-10-03,0
2011-10-02,1700
2011-10-05,200
2011-10-04,300
2010-08-10,380
2011-10-06,200
2011-10-08,200
2010-08-18,300
2011-03-16,5880
2011-03-17,12600
2011-03-14,5500
2011-03-15,4250
2011-03-12,1800
2011-03-13,1700
2011-03-10,5100
2011-03-11,3650
2010-01-31,450
2010-01-30,300
2011-03-18,5300
2011-03-19,6700
2010-12-15,900
2010-12-14,300
2010-12-16,1700
2010-12-11,900
2010-12-10,1900
2010-12-13,900
2010-12-12,700
2010-12-19,300
2010-12-18,400
2011-01-21,900
2011-01-23,800
2011-01-22,1500
2011-01-25,1300
2011-01-24,2900
2011-01-27,1200
2011-01-26,1400
2011-01-29,200
2011-01-28,500
2010-07-09,300
2010-09-09,300
2010-07-12,300
2010-04-13,440
2010-06-17,400
2010-04-16,450
2010-07-11,300
2010-09-05,500
2011-02-08,100
2011-02-09,400
2011-02-02,4100
2011-02-03,3920
2011-02-01,300
2011-02-07,3600
2011-02-04,3100
2011-02-05,600
2010-03-26,150
2010-03-27,150
2010-03-25,590
2010-03-22,100
2010-03-20,600
2011-09-30,1800
2010-06-25,500
2010-06-27,300
2010-06-22,300
2009-11-13,310
2011-06-06,10860
2011-06-07,4830
2011-06-04,10000
2011-06-05,5510
2011-04-08,5700
2011-04-09,5150
2011-06-01,103080
2011-04-04,6800
2011-04-05,12180
2011-04-06,6900
2011-04-07,3900
2011-04-01,5700
2011-06-08,56100
2011-06-09,11300
2010-02-10,230
2010-02-11,1010
2011-05-30,16780
2011-05-31,9300
2010-05-14,300
2011-02-20,3210
2009-10-09,310
2010-05-12,600
2009-10-05,150
2009-12-13,600
2009-12-10,90
2010-01-09,90
2011-08-08,13520
2011-08-09,11270
2010-10-31,650
2011-08-01,20060
2011-08-02,19250
2011-08-03,48700
2011-08-04,11380
2011-08-05,15480
2011-08-06,15280
2011-08-07,17500
2009-05-08,150
2011-06-15,9280
2009-07-01,1650
2011-04-12,2450
2009-05-02,310
2011-04-11,9400
2011-04-10,4850
2010-05-18,300
2010-09-03,1000
2011-04-17,4900
2010-05-11,150
2010-05-10,400
2010-05-13,240
2011-06-10,7900
2009-10-20,310
2011-04-15,10200
2009-06-15,150
2010-09-07,900
2011-07-29,45690
2011-07-28,17620
2010-12-03,1700
2011-07-23,14450
2011-07-22,22240
2011-07-21,11830
2011-07-20,20800
2011-07-27,13460
2011-07-26,8700
2011-07-25,14630
2011-07-24,13070
2010-04-20,2440
2010-09-14,300
2010-11-07,500
2010-11-06,300
2010-11-05,1150
2010-11-04,1200
2010-11-02,600
2010-11-01,500
2010-11-09,400
2010-11-08,600
2010-08-05,200
2010-07-23,300
2010-07-21,300
2010-07-26,300
2010-07-27,400
2010-08-03,600
2010-08-02,900
2010-08-09,400
2011-03-05,4800
2011-03-04,7200
2011-03-07,4000
2011-03-06,3300
2011-03-01,3500
2011-03-03,6000
2011-03-02,1800
2011-03-09,2850
2011-03-08,7500
2010-12-28,2000
2010-12-29,400
2010-12-20,400
2010-12-21,300
2010-03-18,600
2010-12-24,300
2010-12-25,400
2010-12-26,300
2010-04-06,500
2011-07-12,15680
2011-07-13,16880
2011-07-10,13630
2011-07-11,15700
2011-07-16,10090
2011-07-17,10060
2011-07-14,15580
2011-07-15,26460
2011-07-18,14300
2011-07-19,12980
2011-01-18,1000
2011-01-19,100
2010-04-09,140
2009-09-28,450
2010-04-01,150
2010-09-10,750
2010-04-03,1120
2010-04-05,600
2010-04-04,150
2010-09-17,1500
2010-09-16,300
2011-02-19,2300
2011-02-18,2700
2011-02-11,400
2011-02-10,900
2011-02-13,1500
2011-02-15,2700
2011-02-14,3200
2011-02-17,1200
2011-02-16,3300
2010-03-30,150
2011-05-29,6280
2011-09-29,500
2011-09-28,810
2011-09-21,2500
2011-09-20,2800
2011-09-23,32700
2011-09-22,300
2011-09-25,1200
2011-09-24,2580
2011-09-27,16700
2011-09-26,700
2010-08-27,300
2011-05-27,10280
2010-08-24,300
2010-08-22,1300
2010-07-08,300
2010-08-21,300
2009-11-01,60
2009-11-03,150
2010-08-20,500
2011-04-13,7200
2011-06-14,28800
2011-06-17,13660
2011-06-16,8100
2011-06-11,9600
2011-04-16,4750
2011-06-13,10490
2011-04-14,6800
2011-04-19,29500
2011-04-18,4850
2011-06-19,10260
2011-06-18,12650
2009-12-30,100
2010-02-02,560
2010-02-01,360
2010-10-10,300
2010-02-07,1500
2011-05-28,9200
2009-03-30,180
2011-05-25,77900
2011-05-24,9140
2010-02-09,220
2011-05-26,6000
2011-05-21,14780
2011-05-20,26600
2011-05-23,12800
2011-05-22,7600
2009-08-12,100
2009-08-14,140
2010-10-14,700
2010-11-30,2200
2009-10-18,150
2007-03-06,150
2008-04-30,1250
2010-01-12,1500
2010-01-15,750
2010-01-14,800
2010-12-23,100
2010-10-08,1600
2010-10-09,300
2011-08-19,18800
2011-08-18,12090
2010-10-04,1220
2010-10-05,600
2011-08-15,18140
